sentences_ref,words_ref,sentences_intro,words_intro,sentences_mat,words_mat,sentences_conc,words_conc
7,137,16,377,57,1240,90,1664
12,154,41,652,161,2239,164,2432
11,207,29,692,37,787,165,3596
7,130,40,785,86,1923,104,2610
12,213,15,276,105,1684,145,2882
12,243,35,721,44,726,250,5025
7,156,15,314,31,502,70,1465
7,140,21,511,53,816,90,1979
9,200,3,45,3,77,131,2051
12,208,20,551,47,950,118,2584
9,187,13,342,99,1711,142,2712
9,153,27,683,91,1512,91,2364
8,149,11,263,85,1334,136,2880
6,208,22,632,28,637,54,1838
11,189,3,40,3,39,7,117
10,203,18,434,142,3170,10,216
9,226,57,1656,92,2074,125,3853
10,199,22,550,10,219,17,443
12,235,19,395,30,546,181,3279
6,151,19,537,98,1768,60,1439
7,194,15,314,64,1222,109,2367
20,320,11,314,57,1156,140,2442
12,253,15,439,77,1803,10,274
31,261,34,515,119,1488,383,4225
10,266,15,309,78,1164,85,2229
9,156,27,642,95,1396,91,1914
14,238,15,279,93,1772,64,1630
12,235,3,50,4,64,107,2753
11,183,10,197,81,1354,181,1921
10,197,22,455,83,1869,26,446
11,278,22,514,65,1267,109,1798
11,230,13,409,19,351,22,670
13,284,43,1103,33,635,63,1540
9,205,18,492,31,500,32,976
8,206,37,1045,84,1023,43,1195
13,232,10,235,2,13,92,2191
14,251,29,634,105,1475,240,4653
12,253,44,1310,36,546,80,1589
16,239,23,535,60,1245,76,1854
14,322,29,787,80,1648,186,4350
10,202,21,461,86,1677,213,3400
12,256,21,542,121,1808,29,754
8,157,20,493,36,758,66,1479
11,211,28,614,111,1482,95,2014
13,262,38,950,53,850,113,2742
11,183,21,503,28,446,110,2611
10,256,28,962,31,770,70,2387
9,231,27,618,64,1130,184,3550
10,237,18,496,25,430,124,2830
10,207,15,374,45,733,91,2023
14,225,3,39,6,86,85,1774
6,143,21,593,80,1456,159,4848
10,209,21,435,62,1235,111,1421
13,258,21,415,110,2121,136,2331
7,167,47,1102,134,2599,8,164
10,218,19,390,55,940,79,1531
8,190,34,785,48,699,56,1460
10,231,19,477,30,684,74,1384
14,252,23,444,42,720,168,3500
7,161,13,371,148,2612,119,2164
9,205,15,385,79,1478,90,1953
13,198,27,626,277,4309,6,50
9,203,22,452,108,1758,185,3345
7,162,12,277,22,363,32,661
11,216,17,377,24,394,94,1994
16,253,29,506,54,822,116,2015
18,194,16,423,45,941,48,1029
6,138,7,242,47,997,40,1202
14,262,27,587,145,2875,4,84
7,191,8,166,44,759,23,796
11,214,34,864,320,2039,262,5349
10,178,33,737,39,640,59,1119
6,173,21,609,67,1018,77,1772
11,240,30,716,30,681,85,1638
7,100,23,582,56,1068,78,1851
11,200,19,400,85,1522,133,1976
14,242,25,636,26,586,264,2434
11,214,21,509,31,597,67,1537
10,227,15,439,60,1347,633,3002
7,140,27,783,68,1311,324,2951
10,252,25,779,77,1241,106,2291
9,227,21,547,58,922,23,753
10,206,15,361,20,277,114,2088
11,250,17,410,40,602,75,1822
13,220,13,352,44,1053,32,935
8,156,27,616,54,993,159,3769
13,317,20,719,67,1180,119,2475
8,165,27,693,53,894,75,1622
12,264,22,507,35,628,87,2290
11,218,21,491,45,1018,61,1524
10,223,33,820,77,1397,239,5985
12,215,23,573,40,679,65,1554
7,155,19,522,38,713,73,2187
6,154,30,793,48,1508,128,3986
14,245,27,724,55,1143,74,1640
8,236,19,505,42,1059,68,2122
10,195,22,579,92,1637,28,524
10,261,25,546,54,952,77,1705
13,253,14,421,29,766,58,1939
9,219,23,598,33,712,113,2795
14,245,4,66,4,59,8,127
12,226,16,294,48,937,53,955
8,122,2,20,3,36,76,1513
10,287,32,877,67,1212,97,2498
9,239,19,448,86,1815,81,1961
14,290,3,33,5,101,59,1276
9,189,31,606,48,1029,152,2288
11,236,2,28,37,1006,53,1402
12,230,27,604,26,523,70,1343
12,287,10,326,50,999,91,2087
12,239,19,404,53,669,136,2975
15,273,31,751,80,1431,80,1710
10,244,30,779,46,852,104,2452
8,141,22,539,73,1721,56,1239
11,204,17,385,26,574,75,1968
9,231,19,620,46,767,71,2233
11,238,62,1334,13,304,219,5087
10,146,55,954,56,1212,72,1315
12,201,3,29,4,65,7,114
11,288,26,880,17,438,20,601
13,268,20,517,33,834,43,1065
10,195,23,613,43,628,76,1980
14,192,30,654,69,1068,110,2089
10,199,25,649,52,771,95,2335
8,170,16,418,42,818,79,1655
7,136,66,1103,73,1081,77,418
17,283,20,456,85,1700,79,1701
8,192,36,697,71,1169,174,3638
12,227,20,494,13,217,59,1439
8,155,17,452,63,796,95,2627
9,207,12,247,12,157,25,518
7,141,18,454,71,1048,165,4479
12,244,15,404,49,1027,108,2371
13,242,17,375,37,768,95,1946
